id,type,label,subClassOf,domain,range,@type,@container,ForwardMultiplicity,ReverseMultiplicity,term,comment
NodeKind,rdfs:Class,Node Kind,,,,@null,,,,,The set of kinds of RDF Nodes.
OneOf,rdfs:Class,One Of,TripleExpression,,,,,,,,"A TripleExpression composed of one or more sub-expressions, one of which must match."
Schema,rdfs:Class,Schema,,,,,,,,,"A Schema contains the set of shapes, used for matching a focus node."
SemAct,rdfs:Class,Semantic Actions,,,,,,,,,"A list of Semantic Actions that serve as an extension point for Shape Expressions. They appear in lists in Schema's startActs and Shape, OneOf, EachOf and TripleConstraint's semActs."
Shape,rdfs:Class,Shape Or,ShapeExpression,,,,,,,,A shapes schema is captured in a Schema object where shapes is a mapping from shape label to shape expression.
ShapeAnd,rdfs:Class,Shape And,ShapeExpression,,,,,,,,"A ShapeExpression composed of one or more sub-expressions, all of which must match."
ShapeExpression,rdfs:Class,Shape Expression,,,,@null,,,,,The abstract class of Shape Expressions.
ShapeExternal,rdfs:Class,Shape External,ShapeExpression,,,,,,,,A reference to a shape defined in some external Schema.
ShapeNot,rdfs:Class,Shape Not,ShapeExpression,,,,,,,,A ShapeNot is satisfied when it’s included ShapeExpression is not satisfied.
ShapeOr,rdfs:Class,Shape Or,ShapeExpression,,,,,,,,"A ShapeExpression composed of one or more sub-expressions, one of which must match."
Stem,rdfs:Class,Stem,,,,,,,,,Abstract class for Stems
IriStem,rdfs:Class,IRI Stem,Stem,,,,,,,,An IRI prefix used for matching IRIs.
LiteralStem,rdfs:Class,Literal Stem,Stem,,,,,,,,An Literal prefix used for matching Literals.
Language,rdfs:Class,Language,,,,,,,,,An Language tag used for matching Literal Languages.
LanguageStem,rdfs:Class,Language Stem,Stem,,,,,,,,An Language prefix used for matching Literal Languages.
StemRange,rdfs:Class,StemRange,,,,,,,,,Abstract Class for Stem Ranges
IriStemRange,rdfs:Class,IRI StemRange,StemRange,,,,,,,,"An IRI prefix (or wildcard) along with a set of excluded values, used for node matching."
LiteralStemRange,rdfs:Class,Literal StemRange,StemRange,,,,,,,,"An Literal prefix (or wildcard) along with a set of excluded values, used for node matching."
LanguageStemRange,rdfs:Class,Language StemRange,StemRange,,,,,,,,"An Language prefix (or wildcard) along with a set of excluded values, used for node matching."
TripleConstraint,rdfs:Class,Triple Constraint,TripleExpression,,,,,,,,A constraint on a triple having a specific predicate and optionally a shape expression used for matching values.
TripleExpression,rdfs:Class,Triple Expression,,,,@null,,,,,The abstract class of Triple Expressions.
Wildcard,rdfs:Class,Wildcard,,,,,,,,,"Indicates that a stem is a Wildcard, rather than a URI prefix."
annotations,term,,shex:annotation,,,@id,@list,,,,A synonym for the annotation property.
exclusions,term,,shex:exclusion,,,@id,@list,,,,A synonym for the exclusion property.
id,term,,@id,,,,,,,,A synonym for @id.
language,term,,@language,,,,,,,,A synonym for @language.
type,term,,@type,,,,,,,,A synonym for @type.
value,term,,@value,,,,,,,,A synonym for @value.
,rdfs:seeAlso,,https://shexspec.github.io/shape-map/,,,,,,,,
extends,rdf:Property,extends,,Shape,ShapeExpression,,,0:N,0:N,,Base shape expressions for this shape.
QueryMap,rdfs:Class,Query Map,,,,,,,,,"A map of node selectors to shape labels, used to select the nodes to be validated against particular shapes. Node selectors are RDF nodes or triple patterns."
ShapeMap,rdfs:Class,Shape Map,QueryMap,,,,,,,,"A QueryMap in which each node selector is an RDF node; associates RDF nodes with shapes, optionally recording the validation status of each association."
node,rdf:Property,node,,QueryMap,rdfs:Resource,,,1:1,0:N,,"An RDF node, or a triple pattern which is used to select RDF nodes to be validated."
shape,rdf:Property,shape,,QueryMap,ShapeExpression,,,1:1,0:N,,"A ShEx shape expression label identifying the shape expression against which the selected nodes are validated, or the string ""START"" for the schema's start shape expression."
status,rdf:Property,status,,ShapeMap,xsd:string,,,0:1,,,"The validation status of a node/shape association: ""conformant"" or ""nonconformant"". Defaults to ""conformant""."
FOCUS,rdfs:Resource,FOCUS,,,,,,,,,"In a triple pattern used as a node selector, indicates the position (subject or object) of the nodes to be selected. A triple pattern has exactly one focus selector."
_,rdfs:Resource,wildcard,,,,,,,,,"In a triple pattern used as a node selector, a wildcard indicating that the position (subject or object) may hold any value."
